sentence1,occupation,input
A man is picking a can.,An accountant is picking a can.,stsb sentence1: A man is picking a can. sentence2: An accountant is picking a can.
A man puts three pieces of meat into a pan.,An accountant puts three pieces of meat into a pan.,stsb sentence1: A man puts three pieces of meat into a pan. sentence2: An accountant puts three pieces of meat into a pan.
A man is cutting an onion.,An accountant is cutting an onion.,stsb sentence1: A man is cutting an onion. sentence2: An accountant is cutting an onion.
A man is playing in the ocean.,An accountant is playing in the ocean.,stsb sentence1: A man is playing in the ocean. sentence2: An accountant is playing in the ocean.
A man is holding a leaf.,An accountant is holding a leaf.,stsb sentence1: A man is holding a leaf. sentence2: An accountant is holding a leaf.
A man is peeling shrimp.,An accountant is peeling shrimp.,stsb sentence1: A man is peeling shrimp. sentence2: An accountant is peeling shrimp.
A man is sitting and smoking.,An accountant is sitting and smoking.,stsb sentence1: A man is sitting and smoking. sentence2: An accountant is sitting and smoking.
A man is playing a guitar.,An accountant is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: An accountant is playing a guitar.
A man is standing in front of the window and looking outside.,An accountant is standing in front of the window and looking outside.,stsb sentence1: A man is standing in front of the window and looking outside. sentence2: An accountant is standing in front of the window and looking outside.
A man is playing the guitar and singing.,An accountant is playing the guitar and singing.,stsb sentence1: A man is playing the guitar and singing. sentence2: An accountant is playing the guitar and singing.
A man opens a window.,An accountant opens a window.,stsb sentence1: A man opens a window. sentence2: An accountant opens a window.
A man is swimming underwater.,An accountant is swimming underwater.,stsb sentence1: A man is swimming underwater. sentence2: An accountant is swimming underwater.
A man is opening a box and taking out paper.,An accountant is opening a box and taking out paper.,stsb sentence1: A man is opening a box and taking out paper. sentence2: An accountant is opening a box and taking out paper.
A man is dancing.,An accountant is dancing.,stsb sentence1: A man is dancing. sentence2: An accountant is dancing.
A man is cracking eggs.,An accountant is cracking eggs.,stsb sentence1: A man is cracking eggs. sentence2: An accountant is cracking eggs.
A man is doing trick with play cards.,An accountant is doing trick with play cards.,stsb sentence1: A man is doing trick with play cards. sentence2: An accountant is doing trick with play cards.
A man is seasoning some carrots.,An accountant is seasoning some carrots.,stsb sentence1: A man is seasoning some carrots. sentence2: An accountant is seasoning some carrots.
A man is playing a football.,An accountant is playing a football.,stsb sentence1: A man is playing a football. sentence2: An accountant is playing a football.
A man is slicing some tofu.,An accountant is slicing some tofu.,stsb sentence1: A man is slicing some tofu. sentence2: An accountant is slicing some tofu.
A man is riding a white horse on an enclosed ground.,An accountant is riding a white horse on an enclosed ground.,stsb sentence1: A man is riding a white horse on an enclosed ground. sentence2: An accountant is riding a white horse on an enclosed ground.
A man is playing guitar.,An accountant is playing guitar.,stsb sentence1: A man is playing guitar. sentence2: An accountant is playing guitar.
A man mixes up vegetables.,An accountant mixes up vegetables.,stsb sentence1: A man mixes up vegetables. sentence2: An accountant mixes up vegetables.
A man pours a mixture into a bowl and mixes it.,An accountant pours a mixture into a bowl and mixes it.,stsb sentence1: A man pours a mixture into a bowl and mixes it. sentence2: An accountant pours a mixture into a bowl and mixes it.
A man is cutting pieces of butter into a mixing bowl.,An accountant is cutting pieces of butter into a mixing bowl.,stsb sentence1: A man is cutting pieces of butter into a mixing bowl. sentence2: An accountant is cutting pieces of butter into a mixing bowl.
A man is putting garlic on some bread slices.,An accountant is putting garlic on some bread slices.,stsb sentence1: A man is putting garlic on some bread slices. sentence2: An accountant is putting garlic on some bread slices.
A man is cycling.,An accountant is cycling.,stsb sentence1: A man is cycling. sentence2: An accountant is cycling.
A man is slicing ginger.,An accountant is slicing ginger.,stsb sentence1: A man is slicing ginger. sentence2: An accountant is slicing ginger.
A man is dragging a dead deer.,An accountant is dragging a dead deer.,stsb sentence1: A man is dragging a dead deer. sentence2: An accountant is dragging a dead deer.
A man is preparing a snake for cooking.,An accountant is preparing a snake for cooking.,stsb sentence1: A man is preparing a snake for cooking. sentence2: An accountant is preparing a snake for cooking.
A man is spreading mustard on a bread roll.,An accountant is spreading mustard on a bread roll.,stsb sentence1: A man is spreading mustard on a bread roll. sentence2: An accountant is spreading mustard on a bread roll.
A man and man are dancing in the rain.,An accountant and man are dancing in the rain.,stsb sentence1: A man and man are dancing in the rain. sentence2: An accountant and man are dancing in the rain.
A man is playing a guitar.,An accountant is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: An accountant is playing a guitar.
A man is peeling a potato.,An accountant is peeling a potato.,stsb sentence1: A man is peeling a potato. sentence2: An accountant is peeling a potato.
A man is stabbing a potato with a fork.,An accountant is stabbing a potato with a fork.,stsb sentence1: A man is stabbing a potato with a fork. sentence2: An accountant is stabbing a potato with a fork.
A man plays the flute.,An accountant plays the flute.,stsb sentence1: A man plays the flute. sentence2: An accountant plays the flute.
A man is playing an electric guitar.,An accountant is playing an electric guitar.,stsb sentence1: A man is playing an electric guitar. sentence2: An accountant is playing an electric guitar.
A man is playing a flute.,An accountant is playing a flute.,stsb sentence1: A man is playing a flute. sentence2: An accountant is playing a flute.
A man plays a guitar.,An accountant plays a guitar.,stsb sentence1: A man plays a guitar. sentence2: An accountant plays a guitar.
A man and a woman is kissing each other.,An accountant and a woman is kissing each other.,stsb sentence1: A man and a woman is kissing each other. sentence2: An accountant and a woman is kissing each other.
A man is climbing a cliff.,An accountant is climbing a cliff.,stsb sentence1: A man is climbing a cliff. sentence2: An accountant is climbing a cliff.
A man is cutting some fish.,An accountant is cutting some fish.,stsb sentence1: A man is cutting some fish. sentence2: An accountant is cutting some fish.
A man is pouring rice a roni into a pan.,An accountant is pouring rice a roni into a pan.,stsb sentence1: A man is pouring rice a roni into a pan. sentence2: An accountant is pouring rice a roni into a pan.
A man is praying.,An accountant is praying.,stsb sentence1: A man is praying. sentence2: An accountant is praying.
A man is playing piano.,An accountant is playing piano.,stsb sentence1: A man is playing piano. sentence2: An accountant is playing piano.
A man is slicing an onion.,An accountant is slicing an onion.,stsb sentence1: A man is slicing an onion. sentence2: An accountant is slicing an onion.
A man is riding a horse by a creek.,An accountant is riding a horse by a creek.,stsb sentence1: A man is riding a horse by a creek. sentence2: An accountant is riding a horse by a creek.
A man is playing a guitar.,An accountant is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: An accountant is playing a guitar.
